Province_id,Province_name,Year,Pop,Pop_den,Literate,Trained,GDPpc,Real_gdp_pc,Real_grdp,Agri,Indus,Service,tax_rev,cus_rev,Total_in,Domestic_in,FDI_in,Dom_in_rate,Registered_FDI,Nonpublic_wage,FDI_eachyear,Total_internet,Total_phones,Market_cost,Land_cost,Time_cost,Unofficial_cost,Proactive_leadership,Business_support,Legal_quality,Accum_FDI_pro,Accum_FDI,FDI_Projects,FDI_regis,Net-migration
64,Gia Lai,2015,1426.4,0.1,84,10.9,34.3,23.7,33739,11651,9139,11857,1093,94038,10618,2328,,,,5876,6987,,1407187,8.6,8.6,8.6,8.6,8.6,8.6,8.6,5,9.7,0,0,
64,Gia Lai,2016,1447.1,0.1,83.9,11,37.4,25.1,36263,12280,9918,12853,1211,137700,11765,2415,,,,5245,6953,,1386195,8.5,5.9,6,4.1,4.4,5.5,4.9,5,12.2,0,-2.9,
64,Gia Lai,2017,1468.9,0.1,84.8,11,40.7,26.6,39095,13080,10706,13977,1332,186643,13528,2051,,,,6531,7414,,1310699,7.8,6.3,5.6,4.5,5.2,6.3,5.1,5,12.2,0,0,
64,Gia Lai,2018,1495.6,0.1,85.4,11.3,44.2,28.2,42225,13830,11744,15186,1465,71465,16011,3329,,,,6209,8112,,1299549,7.5,6.8,5.5,4.7,4.9,7,4.1,5,12.2,0,0,
64,Gia Lai,2019,1520.2,0.1,85.9,12.4,48.4,30,45669,14570,12973,16520,1605,30826,17650,2385,,,,,,,1356164,7.6,7.5,6.4,6,5.8,5.7,5.8,6,12.2,0,0,
62,Kon Tum,2015,495.9,0.1,89.2,45.4,30.5,21.2,10498,2407,2194,4945,952,9068,6306,,1,1,NA,4933,7917, -,302151,8.2,8.1,8.1,8.1,8.1,8.1,8,2,70.2,0,0,
62,Kon Tum,2016,507.8,0.1,89.4,47.2,32.2,22.1,11219,2505,2391,5296,1027,3370,6286,,23,1,3,4948,4800,33051,391403,7.9,5.9,6.3,4.8,4.2,6,5.7,8,82,6,13.9,
62,Kon Tum,2017,520,0.1,89.5,47.9,35.5,23.3,12101,2650,2692,5676,1083,10772,7211,,14,1,0,5010,2279,41254,390377,7.1,6.9,5.2,4.9,4.9,7.2,5.7,8,82.3,1,1.1,
62,Kon Tum,2018,532.4,0.1,89.6,48.1,37.8,24.6,13105,2820,3059,6049,1177,9790,8451,,17,1,2,5628,5690,47199,391583,7.5,7.1,6.5,6.2,6,6.9,6.4,8,88.3,1,11,
62,Kon Tum,2019,543.5,0.1,90,48.3,41.2,26.2,14266,2983,3643,6443,1196,7891,9665,,16,1,1,,,54085,390229,7,7,6.5,5.6,5.6,7.4,6.1,9,93.9,1,5.7,
67,Dak Nong,2015,580.5,0.1,93.9,10.3,40.7,24.7,14314,6032,2027,5652,603,45868,6583,,33,1,60,4166,9059,,35290,8.2,8.2,8.2,8.2,8.2,8.2,8.2,6,19.6,0,0,
67,Dak Nong,2016,594.4,0.1,93.4,10.5,41.3,25.2,14960,6187,2124,6027,622,20909,6317,,35,1,185,5269,4065,50053,55870,8.4,5.2,7,5.4,3.9,4.8,4.5,11,74.2,0,-0.9,
67,Dak Nong,2017,604.9,0.1,94.2,12.1,44.2,26.7,16142,6501,2614,6371,655,128472,6477,,55,1,163,6057,2512,66706,80113,7.1,6.3,6.2,4.1,4.7,6.2,4.3,11,95.6,1,23.6,
67,Dak Nong,2018,615.4,0.1,92.9,13.7,44,27.9,17182,6812,2752,6853,766,172729,6630,,45,1,212,6228,2618,68741,430739,6.5,7,6.6,4.9,5.8,6.2,5.2,12,144.4,1,48.8,
67,Dak Nong,2019,625.8,0.1,93.3,14,46,29.2,18276,7215,2903,7306,852,161437,6552,,49,1,8,6365,2692,77005,478720,6.8,7.6,6.7,5.8,5.5,5.6,5.8,13,152.1,1,7.8,
68,Lam Dong,2015,1261.4,0.13,93.8,15.3,45.6,31.3,39542,16993,6993,14063,1493,499278,12163,,423,1,7606,3030,2250,134555,,8.3,8.3,8.2,8.2,8.2,8.2,8.2,105,481.9,5,10.1,
